a,b,c,d,e,f,g,h,i
e,1,1,1,4,0,0,4,4
e,1,1,2,1,0,2,4,2
e,1,0,3,0,3,0,4,2
e,1,1,2,0,0,0,4,3
e,1,1,3,0,3,0,2,4
e,1,1,2,0,0,0,0,2
e,0,1,2,1,0,0,3,2
e,1,1,4,1,0,0,0,1
e,1,0,2,0,0,0,0,2
e,1,1,3,0,0,0,0,4
e,1,1,4,1,0,0,0,1
e,0,1,2,0,0,0,0,4
e,1,1,3,0,0,0,0,2
e,1,1,3,1,0,2,3,1
e,1,0,2,0,0,0,0,2
e,1,1,2,1,0,0,0,2
e,1,1,2,0,0,0,0,1
e,1,1,2,1,4,0,3,4
e,0,0,1,1,0,0,4,4
e,1,0,4,0,0,0,0,2
e,1,1,2,0,0,0,0,4
e,1,1,2,0,0,0,0,3
e,1,0,1,0,0,0,0,4
e,1,1,2,0,0,0,4,4
e,1,1,2,0,0,0,0,3
e,1,1,2,2,0,1,4,1
e,1,1,1,0,0,0,0,3
e,1,1,3,0,3,0,2,1
e,1,1,3,0,4,0,3,2
e,1,0,3,0,3,0,4,2
e,1,1,3,0,0,0,0,3
e,1,1,2,0,4,0,3,1
e,0,1,2,0,3,0,2,4
e,1,1,1,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,1,1,3,0,0,0,0,4
e,0,1,2,0,3,0,2,2
e,0,1,4,0,0,0,0,2
e,1,1,2,0,0,0,0,2
e,1,0,1,0,0,0,0,2
e,1,1,2,0,3,0,2,2
e,1,1,1,0,3,0,2,0
e,1,1,1,0,3,0,2,4
e,1,1,2,0,4,0,3,4
e,1,1,3,1,0,0,0,1
e,1,1,4,0,0,0,0,3
e,1,1,2,0,3,0,2,3
e,1,0,2,0,3,0,4,2
e,1,1,4,0,0,0,0,3
e,0,1,4,0,0,0,0,3
e,1,0,3,0,0,0,0,2
e,1,0,1,0,0,0,3,4
e,1,1,2,0,4,0,3,4
e,0,0,2,0,1,0,0,2
e,1,0,1,1,0,0,0,2
e,1,0,2,0,3,0,2,1
e,0,1,1,0,0,0,0,2
e,1,0,3,0,0,0,3,2
e,1,1,3,0,0,0,0,3
e,1,1,1,0,0,0,0,2
e,1,1,2,0,0,0,0,0
e,1,1,1,0,0,0,0,0
e,1,1,2,0,0,0,0,2
e,1,0,1,0,0,0,0,2
e,1,1,2,1,3,0,2,1
e,1,1,2,1,0,0,3,3
e,1,1,1,0,3,0,2,1
e,1,1,2,0,0,0,0,0
e,0,1,2,0,3,0,2,3
e,1,1,3,0,0,0,0,2
e,1,1,4,0,3,0,2,1
e,0,1,1,0,0,0,0,2
e,1,1,1,0,0,0,3,4
e,0,1,1,1,3,0,2,1
e,0,1,2,0,0,0,0,4
e,1,1,1,0,0,0,0,1
e,1,1,1,0,3,0,2,0
e,1,1,1,0,0,0,0,3
e,1,0,3,0,0,0,0,2
e,1,0,2,0,0,0,0,2
e,1,0,1,0,0,0,0,4
e,1,1,2,0,0,0,3,1
e,1,1,1,0,0,0,0,2
e,1,1,4,0,0,0,0,1
e,1,0,2,0,0,0,0,1
e,1,1,4,0,0,0,0,0
e,1,1,2,0,0,0,0,4
e,1,0,2,0,0,0,3,2
e,1,1,2,0,3,0,2,2
e,1,1,1,0,0,0,0,3
e,1,0,4,0,0,0,0,2
e,0,1,3,0,3,0,2,2
e,0,1,1,0,0,0,0,3
e,1,1,4,0,0,0,0,1
e,1,1,2,1,0,2,4,0
e,1,1,1,0,0,0,0,4
e,1,0,2,0,0,0,0,2
e,1,1,3,1,0,0,0,0
e,1,0,2,0,0,0,0,2
e,0,1,4,1,0,0,0,2
e,1,0,2,0,0,0,0,2
e,1,0,1,0,0,0,0,2
e,1,0,4,0,0,0,0,4
e,1,0,2,0,3,0,4,2
e,1,1,1,0,1,0,0,0
e,1,1,1,0,0,0,0,3
e,0,1,2,0,0,0,3,1
e,1,0,3,0,0,0,0,2
e,1,1,2,0,0,0,0,4
e,1,1,2,0,3,0,2,3
e,1,1,2,0,0,0,0,3
e,1,0,2,0,0,0,0,2
e,1,1,2,0,3,0,2,3
e,1,0,2,0,0,0,0,2
e,1,0,3,0,0,0,0,2
e,1,0,1,0,0,0,0,2
e,1,0,4,1,1,0,0,0
e,1,0,3,0,0,0,0,2
e,1,1,1,0,0,0,0,0
e,1,1,2,0,0,0,0,3
e,0,1,2,0,0,0,0,4
e,0,1,2,0,0,0,0,2
e,0,1,3,0,0,3,0,1
e,0,1,1,0,0,0,0,1
e,0,1,2,0,0,0,0,2
e,1,0,2,0,0,0,0,4
e,1,0,4,0,0,0,0,1
e,1,1,2,0,0,0,0,4
e,1,1,2,0,0,0,0,2
e,1,1,4,0,0,0,0,3
e,1,1,2,0,0,0,0,4
e,1,0,1,0,0,0,0,0
e,0,1,2,0,0,0,0,2
e,1,0,2,1,0,0,3,2
e,1,1,3,0,4,0,3,2
e,1,0,1,0,0,0,0,0
e,1,1,1,0,0,0,0,4
e,1,1,1,0,0,0,0,2
e,1,1,1,0,0,0,0,3
e,1,1,2,0,0,0,0,2
e,0,0,1,0,0,0,0,4
e,0,1,1,0,0,0,0,2
e,1,1,4,0,0,0,0,1
e,1,1,1,0,0,0,0,2
e,1,0,2,0,0,0,0,2
e,1,1,1,0,0,0,0,0
e,1,0,2,0,0,0,0,2
e,0,1,2,0,0,0,0,1
e,1,0,4,0,3,0,4,2
e,1,0,1,0,0,0,0,4
e,0,1,2,0,0,0,0,1
e,1,0,3,0,0,0,0,4
e,1,0,4,0,0,0,0,4
e,1,0,1,0,0,0,0,2
e,1,0,1,0,0,0,0,0
e,1,1,3,0,3,0,2,2
e,1,0,3,0,0,0,3,2
e,0,1,1,0,0,0,0,2
e,1,0,4,0,0,0,0,3
e,1,1,2,1,0,0,0,0
e,1,0,4,0,0,0,0,2
e,0,1,2,0,0,0,0,1
e,1,0,2,0,1,0,0,2
e,1,0,1,0,0,0,0,2
e,1,1,2,0,0,0,0,4
e,1,0,2,0,1,0,0,4
e,1,1,2,0,0,0,0,0
e,0,1,4,0,0,0,0,4
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,0,2,0,0,0,0,3
e,1,1,1,0,3,0,2,0
e,1,1,3,0,0,0,0,2
e,0,1,2,0,0,0,0,4
e,1,0,3,0,0,0,0,0
e,1,0,1,0,0,0,0,2
e,1,1,3,0,0,0,0,0
e,1,1,4,0,0,0,0,0
e,1,0,3,0,0,0,0,0
e,1,0,2,0,0,0,0,2
e,1,0,4,0,3,0,2,2
e,1,1,1,0,0,0,0,2
e,1,1,2,0,0,0,0,0
e,1,1,3,0,0,0,0,2
e,1,1,4,0,0,0,0,1
e,1,1,2,0,0,0,0,2
e,1,1,1,0,0,1,0,3
e,0,1,2,0,0,0,0,2
e,1,0,2,0,0,0,4,2
e,0,1,2,0,0,0,0,0
e,1,1,1,0,0,0,0,0
e,1,0,1,0,0,0,0,0
e,0,1,3,0,0,0,0,0
e,1,1,2,1,0,0,0,0
e,1,1,4,0,0,0,0,0
e,1,1,2,0,0,0,0,0
e,1,1,1,0,0,0,0,0
e,0,1,2,0,0,0,0,2
e,1,1,2,0,0,0,0,0
e,1,1,4,0,0,0,0,2
e,1,1,2,0,0,0,0,0
e,1,1,4,0,0,0,0,1
e,0,1,1,0,0,0,0,2
e,1,1,2,0,0,0,0,0
e,1,0,3,0,0,0,0,2
e,1,1,2,0,0,0,0,0
e,1,1,4,0,0,0,0,0
e,1,1,1,0,0,0,0,0
e,0,1,1,0,0,0,0,2
e,1,0,4,0,0,0,0,0
e,1,0,3,0,0,0,0,0
e,0,1,2,0,0,0,0,3
e,0,1,2,0,0,0,0,2
e,1,1,2,0,0,0,0,0
e,1,1,1,0,0,0,0,0
e,1,0,1,0,0,0,0,0
e,1,0,2,0,0,0,0,0
e,0,1,2,0,0,0,0,2
e,1,0,2,0,0,0,0,0
e,1,0,1,0,0,0,0,0
e,0,1,4,0,0,0,0,2
e,1,0,2,0,0,0,0,0
e,0,1,4,0,0,0,0,3
e,0,1,2,0,0,0,0,2
e,1,1,4,0,0,0,0,0
e,1,0,1,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,1,0,3,0,0,0,0,0
e,1,1,2,0,0,0,0,0
e,1,1,3,2,4,0,3,3
e,1,1,3,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,1,0,2,0,0,0,0,0
e,0,1,3,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,4,0,0,0,0,3
e,0,1,2,0,0,0,0,2
e,0,1,4,0,0,0,0,2
e,1,1,1,0,0,0,0,0
e,0,1,1,0,0,0,0,3
e,1,0,1,0,0,0,0,0
e,0,1,4,0,0,0,0,4
e,1,0,1,0,0,0,0,0
e,0,1,3,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,1,0,0,0,0,3
e,0,1,2,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,3,0,0,0,0,1
e,0,1,3,0,0,0,0,1
e,1,1,2,0,0,0,0,0
e,1,0,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,3
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,1,1,2,0,0,0,0,0
e,0,0,2,0,0,0,0,2
e,0,1,4,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,1,1,4,0,0,0,0,3
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,1
e,0,1,1,0,0,0,0,3
e,1,0,3,0,0,0,0,0
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,4,0,0,0,0,4
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,1
e,0,1,1,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,3,0,0,0,0,3
e,1,0,2,0,0,0,0,0
e,0,1,3,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,1,0,1,0,0,0,0,0
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,1,1,2,0,0,0,0,4
e,0,1,2,0,0,0,0,1
e,0,1,1,0,0,0,0,2
e,0,1,4,0,0,0,0,2
e,0,1,1,0,0,0,0,3
e,0,1,4,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,1,1,1,0,0,0,0,0
e,1,0,2,0,0,0,0,0
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,3
e,0,1,4,0,0,0,0,3
e,0,1,4,0,0,1,0,2
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,3,0,0,0,0,1
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,1,0,1,0,0,0,0,0
e,0,1,1,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,1,0,2,0,0,0,0,2
e,0,1,2,0,0,0,0,4
e,1,1,2,0,0,0,0,4
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,4,0,0,0,0,2
e,0,1,2,0,0,0,0,3
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,3
e,0,0,4,0,0,0,0,2
e,0,1,4,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,4,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,4,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,1,1,2,0,0,0,0,0
e,0,1,4,0,0,0,0,2
e,1,0,4,0,0,0,0,0
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,3
e,0,1,4,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,1
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,3
e,0,1,4,0,0,0,0,2
e,1,1,4,0,0,0,0,2
e,0,1,4,0,0,0,0,3
e,0,1,3,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,4,0,0,0,0,2
e,0,1,4,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,4,0,0,0,0,3
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,1,0,2,0,0,0,0,0
e,0,1,1,0,0,0,0,3
e,0,1,4,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,1,0,4,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,0,1,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,1,0,4,1,0,0,0,3
e,0,1,4,0,0,0,0,3
e,0,1,2,0,0,1,0,1
e,1,1,3,0,0,0,0,3
e,0,1,1,0,0,0,0,3
e,0,1,4,0,0,0,0,0
e,0,1,4,0,0,0,0,2
e,0,1,2,0,0,0,0,3
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,1,1,3,0,0,0,0,4
e,1,0,3,0,0,0,0,3
e,1,0,1,0,0,0,0,1
e,1,0,4,0,0,0,0,4
e,1,0,1,0,0,0,0,3
e,0,0,1,0,0,0,0,1
e,0,1,2,0,0,0,0,1
e,0,0,1,0,0,0,0,3
e,1,1,3,0,0,0,0,4
e,1,1,1,0,0,0,0,4
e,1,0,2,0,0,0,0,4
e,1,0,2,0,0,0,0,2
e,1,1,2,0,0,0,0,1
e,1,1,1,0,0,0,0,1
e,0,1,1,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,2,0,0,0,0,2
e,0,1,4,0,0,1,0,1
e,0,1,1,0,0,0,0,2
e,1,0,1,0,0,0,0,2
e,0,0,3,0,0,0,0,2
e,0,0,3,0,0,0,0,1
e,0,0,3,0,0,0,0,2
e,0,0,2,0,0,0,0,2
e,0,1,1,2,0,0,0,2
e,1,1,1,0,0,0,0,1
e,0,1,2,0,0,0,0,1
e,0,1,3,0,0,0,0,4
e,0,1,3,0,0,0,0,2
e,0,0,4,0,0,0,0,1
e,0,1,3,0,0,0,0,2
e,1,1,3,0,0,0,0,3
e,0,1,3,0,0,0,0,2
e,0,1,3,0,0,0,0,2
e,0,1,2,0,0,0,0,1
e,0,1,2,0,0,0,0,1
e,1,1,3,0,0,0,0,2
e,1,1,1,0,0,0,0,0
e,1,1,2,0,0,0,2,0
e,1,1,3,0,0,0,0,3
e,0,1,4,0,0,0,0,2
e,0,1,4,0,0,0,0,1
e,1,1,1,0,0,0,0,1
e,0,0,2,0,0,0,0,1
e,0,0,2,0,0,0,0,2
e,0,0,2,0,0,0,0,2
e,1,0,1,0,0,0,0,4
e,0,0,3,0,0,0,0,2
e,0,1,1,0,0,0,0,2
e,1,1,1,0,0,0,0,1
e,0,1,3,0,0,0,0,1
e,0,0,1,0,0,0,0,2
e,0,1,3,0,0,0,0,1
e,0,1,3,0,0,0,0,1
e,1,1,2,0,0,0,0,4
e,1,1,2,0,0,0,0,4
e,1,0,1,0,0,0,0,4
e,0,0,4,0,0,0,0,2
e,0,1,1,0,0,0,0,1
e,0,0,1,0,0,0,0,2
e,1,0,2,0,0,0,0,4
e,0,0,1,0,0,0,0,1
e,0,1,2,0,0,0,1,2
e,1,0,2,0,0,0,0,4
e,0,0,4,0,0,0,0,2
e,0,0,4,0,0,0,0,2
e,0,0,2,0,0,0,0,2
e,0,0,2,0,0,0,0,2
e,1,1,3,0,0,0,0,1
e,0,0,4,0,0,0,0,2
e,0,1,3,0,0,0,0,0
e,1,1,2,0,0,0,0,3
e,0,1,3,0,0,0,0,1
e,0,0,1,0,0,0,0,1
e,0,0,2,0,0,0,0,0
e,0,0,2,0,0,0,0,3
e,0,0,2,0,0,0,0,0
e,0,0,2,0,0,0,0,0
e,0,0,4,0,0,0,0,2
e,1,1,1,0,0,0,0,1
e,0,0,4,0,0,0,0,0
e,0,0,4,0,0,0,0,2
e,0,1,4,0,0,0,0,1
e,1,1,1,0,0,0,0,1
e,1,0,2,0,0,0,0,4
e,0,1,2,0,0,0,0,4
e,0,1,4,0,0,0,0,1
e,0,0,1,0,0,0,0,0
e,0,0,1,0,0,0,0,3
e,0,0,4,0,0,0,0,0
e,0,1,1,0,0,0,0,0
e,1,1,2,0,0,0,0,4
e,0,0,2,0,0,0,0,4
e,0,0,4,0,0,0,0,2
e,1,0,2,0,0,0,0,2
e,1,1,1,0,0,0,0,1
e,0,0,3,0,0,0,0,2
e,0,0,2,0,0,0,0,2
e,0,0,4,0,0,0,0,2
e,0,0,4,0,0,0,0,2
e,0,0,2,0,0,0,0,2
e,0,1,3,0,0,0,0,1
e,0,1,2,0,0,0,0,2
e,1,1,2,0,0,0,0,2
e,0,0,1,0,0,0,0,2
e,0,0,2,0,0,0,0,0
e,0,1,2,0,0,0,0,2
e,0,0,2,0,0,0,0,2
e,0,0,1,0,0,0,0,0
e,0,0,1,0,0,0,0,2
e,0,1,3,0,0,0,0,1
e,1,1,3,0,0,0,0,2
e,0,0,1,0,0,0,0,0
e,0,0,4,0,0,0,0,0
e,0,0,4,0,0,0,0,0
e,0,0,3,0,0,0,0,2
e,0,0,2,0,0,0,0,2
e,0,0,2,0,0,0,0,2
e,0,1,2,0,0,0,0,4
e,0,0,2,0,0,0,0,3
e,0,1,4,0,0,0,0,4
e,1,1,4,0,0,0,0,3
e,1,1,3,0,0,0,0,4
e,0,0,1,0,0,0,0,4
e,1,1,1,0,0,0,0,1
e,0,1,1,0,0,0,0,1
e,0,0,1,0,0,0,0,4
e,0,1,2,0,0,0,0,2
e,1,0,4,0,0,0,0,0
e,1,0,2,0,0,0,0,0
e,1,1,2,0,0,0,0,1
e,0,0,3,0,0,0,0,0
e,0,0,4,0,0,0,0,0
e,0,0,3,0,0,0,0,0
e,0,1,2,0,0,0,0,1
e,0,0,4,0,0,0,0,0
e,0,0,2,0,0,0,0,0
e,0,0,2,0,0,0,0,0
e,0,0,4,0,0,0,0,0
e,0,1,1,0,0,0,0,2
e,0,0,1,0,0,0,0,0
e,1,0,2,0,0,0,0,4
e,0,0,2,0,0,0,0,0
e,0,0,2,0,0,0,0,0
e,0,0,4,0,0,0,0,0
e,0,0,4,0,0,0,0,0
e,0,0,4,0,0,0,0,0
e,0,0,1,0,0,0,0,0
e,0,0,4,0,0,0,0,0
e,0,0,1,0,0,0,0,0
e,0,0,1,0,0,0,0,0
e,0,1,4,0,0,0,0,2
e,1,1,1,0,0,0,0,1
